rank,filename,semantic_score,confidence,flip_agreement
1,img_00040.png,1.145511770248413,0.9955117702484131,1.0
2,img_00050.png,1.1298080921173095,0.9798080921173096,1.0
3,img_00073.png,1.1295778393745421,0.9795778393745422,1.0
4,img_00143.png,1.1225303053855895,0.9725303053855896,1.0
5,img_00209.png,1.1224692702293395,0.9724692702293396,1.0
6,img_00308.png,1.1210484743118285,0.9710484743118286,1.0
7,img_00314.png,1.1193318605422973,0.9693318605422974,1.0
8,img_00818.png,1.1190651297569274,0.9690651297569275,1.0
9,img_00611.png,1.1180372476577758,0.9680372476577759,1.0
10,img_00615.png,1.1162815332412719,0.966281533241272,1.0
11,img_00822.png,1.1153191566467284,0.9653191566467285,1.0
12,img_00968.png,1.1148524522781371,0.9648524522781372,1.0
13,img_00979.png,1.1133424282073974,0.9633424282073975,1.0
14,img_00981.png,1.1132492661476134,0.9632492661476135,1.0
15,img_01645.png,1.1120218873023986,0.9620218873023987,1.0
16,img_01668.png,1.1101786732673644,0.9601786732673645,1.0
17,img_02394.png,1.1100350260734557,0.9600350260734558,1.0
18,img_02679.png,1.1095961570739745,0.9595961570739746,1.0
19,img_06022.png,1.1092562913894652,0.9592562913894653,1.0
20,img_00562.png,1.1087135314941405,0.9587135314941406,1.0
