filename,rank
img_05481_class_0109.png,10
img_05202_class_0104.png,8
img_00366_class_0007.png,3
img_07600_class_0152.png,13
img_00206_class_0004.png,1
img_00589_class_0011.png,4
img_01265_class_0025.png,6
img_04424_class_0088.png,7
img_06967_class_0139.png,11
img_46198_class_0923.png,18
img_00287_class_0005.png,2
img_09280_class_0185.png,15
img_00699_class_0013.png,5
img_42504_class_0850.png,9
img_41252_class_0825.png,20
img_45595_class_0911.png,17
img_42684_class_0853.png,12
img_07758_class_0155.png,14
img_46351_class_0927.png,19
img_45434_class_0908.png,16
